POLY_ID,Map Unit Name,Landform,LSRS Rating (Spring Grains),Area (ha),Area (ac),Component Number,Landform Position,Extent (%),Slope Gradient (80%),Slope Length (m),SOIL_CODE,MODIFIER,Soil Series,Soil Subgroup,Drainage,Parent Material Texture (1),Parent Material Code,Horizon Number,Upper Depth (cm),Lower Depth (cm),Horizon Master,Horizon Suffix,Texture Class,Total Sand (%),Total Silt (%),Total Clay (%)
"5863","LET5/U1l","U1l - undulating - low relief","3M(10)","2515.79","6216.64","1","M - Mid slope","80","2","210","LET","","LETHBRIDGE","O.DBC - Orthic Dark Brown Chernozem","W - Well","ME - Medium textured: loam, silt loam and very fine sandy loam","M2 - Medium textured (L, VFSL) sediments deposited by wind and water","1","0","15","A - Surface mineral horizon","p","L - Loam","41","36","23"
"5863","LET5/U1l","U1l - undulating - low relief","3M(10)","2515.79","6216.64","1","M - Mid slope","80","2","210","LET","","LETHBRIDGE","O.DBC - Orthic Dark Brown Chernozem","W - Well","ME - Medium textured: loam, silt loam and very fine sandy loam","M2 - Medium textured (L, VFSL) sediments deposited by wind and water","2","15","20","A - Surface mineral horizon","h","CL - Clay loam","43","29","28"
"5863","LET5/U1l","U1l - undulating - low relief","3M(10)","2515.79","6216.64","1","M - Mid slope","80","2","210","LET","","LETHBRIDGE","O.DBC - Orthic Dark Brown Chernozem","W - Well","ME - Medium textured: loam, silt loam and very fine sandy loam","M2 - Medium textured (L, VFSL) sediments deposited by wind and water","3","20","30","B - Subsurface mineral horizon","m","CL - Clay loam","39","32","29"
"5863","LET5/U1l","U1l - undulating - low relief","3M(10)","2515.79","6216.64","1","M - Mid slope","80","2","210","LET","","LETHBRIDGE","O.DBC - Orthic Dark Brown Chernozem","W - Well","ME - Medium textured: loam, silt loam and very fine sandy loam","M2 - Medium textured (L, VFSL) sediments deposited by wind and water","4","30","46","B - Subsurface mineral horizon","m","CL - Clay loam","32","33","35"
"5863","LET5/U1l","U1l - undulating - low relief","3M(10)","2515.79","6216.64","1","M - Mid slope","80","2","210","LET","","LETHBRIDGE","O.DBC - Orthic Dark Brown Chernozem","W - Well","ME - Medium textured: loam, silt loam and very fine sandy loam","M2 - Medium textured (L, VFSL) sediments deposited by wind and water","5","46","80","C - Parent mineral horizon","k","L - Loam","40","39","21"
"5863","LET5/U1l","U1l - undulating - low relief","3M(10)","2515.79","6216.64","1","M - Mid slope","80","2","210","LET","","LETHBRIDGE","O.DBC - Orthic Dark Brown Chernozem","W - Well","ME - Medium textured: loam, silt loam and very fine sandy loam","M2 - Medium textured (L, VFSL) sediments deposited by wind and water","6","80","100","C - Parent mineral horizon","k","L - Loam","41","37","22"
"5863","LET5/U1l","U1l - undulating - low relief","3M(10)","2515.79","6216.64","2","D - Depression","20","0.5","120","CLD","","COALDALE","O.DBC - Orthic Dark Brown Chernozem","W - Well","FI - Fine textured: clay, silty clay and sandy clay","F1 - Fine textured (C, SiC) water-laid sediments","1","0","15","A - Surface mineral horizon","p","CL - Clay loam","20","40","40"
"5863","LET5/U1l","U1l - undulating - low relief","3M(10)","2515.79","6216.64","2","D - Depression","20","0.5","120","CLD","","COALDALE","O.DBC - Orthic Dark Brown Chernozem","W - Well","FI - Fine textured: clay, silty clay and sandy clay","F1 - Fine textured (C, SiC) water-laid sediments","2","15","30","B - Subsurface mineral horizon","m","C - Clay","26","30","44"
"5863","LET5/U1l","U1l - undulating - low relief","3M(10)","2515.79","6216.64","2","D - Depression","20","0.5","120","CLD","","COALDALE","O.DBC - Orthic Dark Brown Chernozem","W - Well","FI - Fine textured: clay, silty clay and sandy clay","F1 - Fine textured (C, SiC) water-laid sediments","3","30","45","C - Parent mineral horizon","k","C - Clay","18","35","47"
"5863","LET5/U1l","U1l - undulating - low relief","3M(10)","2515.79","6216.64","2","D - Depression","20","0.5","120","CLD","","COALDALE","O.DBC - Orthic Dark Brown Chernozem","W - Well","FI - Fine textured: clay, silty clay and sandy clay","F1 - Fine textured (C, SiC) water-laid sediments","4","45","100","C - Parent mineral horizon","k","SiC - Silty clay","10","45","45"